OP;CGM;CNPJ;NOME;ELEMENTO;VALOR OP;VALOR RET;TIPO RET;DATA OP
561725;;;;;;;;
561726;;;;;54.24;54.24;HSJB - IRRF RETIDO EM N.F;
561727;;;;;5427.85;65.13;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561728;;;;;390;4.68;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561729;;;;;6024.18;90.37;IRRF - GESTAO PLENA - SUS;
561729;;;;;6024.18;301.21;ISS - GESTAO PLENA;
561730;;;;;;;;
561731;;;;;;;;
561732;;;;;;;;
561735;;;;;4127.79;49.53;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561738;;;;;4127.79;49.53;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561739;;;;;;;;
561742;;;;;;;;
561744;;;;;;;;
561745;;;;;;;;
561746;;;;;0.91;0.91;HSJB - IRRF RETIDO EM N.F;
561747;;;;;;;;
561748;;;;;10.08;10.08;HSJB - IRRF RETIDO EM N.F;
561749;;;;;;;;
561750;;;;;;;;
561751;;;;;0.23;0.23;HSJB - IRRF RETIDO EM N.F;
561752;;;;;20512;428.16;IRRF - GESTAO PLENA - SUS;
